x	y	$\phi$	X Velocity	Y Velocity	pressure	$\beta$
0.125	0.25	2.65629249292612e-18	0.8	-0.013423154114247	8.04801671873636	0.2
0.375	0.25	7.23808557727722e-18	0.759422641816378	0.00667686149738484	8.01258043171896	0.2
0.625	0.25	1.32149727336239e-17	0.807748084626919	0.00316223404560151	7.97207443324634	0.2
0.875	0.25	1.47260751178461e-17	0.804225385702008	0.00153486898240874	7.93180558904677	0.2
1.125	0.25	3.67413692629666e-18	0.80250249145769	0.000762495862012663	7.89165184664661	0.2
1.375	0.25	-2.68180320995447e-17	0.801641802839954	0.000385261577675334	7.85155527806087	0.2
1.625	0.25	-7.63765791905286e-17	0.801206807069246	0.000194905696408013	7.81148759069981	0.2
1.875	0.25	-1.30739831269175e-16	0.800989285323031	9.52966438221275e-05	7.77143450784258	0.2
2.125	0.25	-1.58127480492412e-16	0.800887132413917	4.1081117004673e-05	7.7313885587719	0.2
2.375	0.25	-1.12964304359733e-16	0.800848708037856	1.03258936102795e-05	7.69134567727773	0.2
2.625	0.25	4.97535217837913e-17	0.800846999965838	-7.87324393595145e-06	7.65130355666618	0.2
2.875	0.25	3.49295394750123e-16	0.800867364734132	-1.91037682356641e-05	7.61126083194345	0.2
3.125	0.25	7.47697399433836e-16	0.800901567319133	-2.63227948235402e-05	7.57121666075557	0.200000000000001
3.375	0.25	1.12133857104246e-15	0.800944804457608	-3.11488892793232e-05	7.53117050160475	0.200000000000001
3.625	0.25	1.24932953241834e-15	0.800994174274441	-3.44986702640799e-05	7.49112199245701	0.200000000000001
3.875	0.25	8.35728996780957e-16	0.801047864973657	-3.69089578498742e-05	7.45107088199575	0.200000000000001
4.125	0.25	-4.15991984170102e-16	0.801104710895574	-3.87044466202062e-05	7.41101698936024	0.2
4.375	0.25	-2.66151745183343e-15	0.80116394172282	-4.00875647946298e-05	7.37096017979347	0.199999999999998
4.625	0.25	-5.70817043511817e-15	0.801225036286979	-4.11880822469532e-05	7.33090034946005	0.199999999999995
4.875	0.25	-8.77772787450345e-15	0.801287634735749	-4.20913169073611e-05	7.29083741571339	0.199999999999993
5.125	0.25	-1.03333705379689e-14	0.80135148423388	-4.28546396379915e-05	7.25077131069683	0.199999999999992
5.375	0.25	-8.12978783892144e-15	0.801416404487204	-4.3517400514121e-05	7.21070197704081	0.199999999999994
5.625	0.25	3.17096967252924e-16	0.80148226530604	-4.41070548690428e-05	7.17062936491151	0.2
5.875	0.25	1.66856607109838e-14	0.801548971667375	-4.46430357501104e-05	7.13055342995174	0.200000000000013
6.125	0.25	4.02411763571604e-14	0.801616453558334	-4.51392563745658e-05	7.09047413182333	0.200000000000032
6.375	0.25	6.59843553147494e-14	0.801684658934171	-4.56057602606198e-05	7.05039143316366	0.200000000000053
6.625	0.25	8.32762661577318e-14	0.801753548744431	-4.60498290680012e-05	7.01030529883232	0.200000000000067
6.875	0.25	7.60313665641825e-14	0.80182309335704	-4.64767385557017e-05	6.97021569536493	0.200000000000061
7.125	0.25	2.57103063674516e-14	0.801893269941896	-4.68902815517376e-05	6.93012259057744	0.200000000000021
7.375	0.25	-8.19878551981637e-14	0.801964060520871	-4.72931339973572e-05	6.89002595328163	0.199999999999934
7.625	0.25	-2.46839025056886e-13	0.802035450486207	-4.76871131217135e-05	6.8499257530843	0.199999999999803
7.875	0.25	-4.42040716712898e-13	0.802107427449599	-4.80733604514801e-05	6.80982196025104	0.199999999999646
8.125	0.25	-6.04424390238549e-13	0.802179980325323	-4.84524709650936e-05	6.76971454562047	0.199999999999516
8.375	0.25	-6.33045086097748e-13	0.802253098578252	-4.88245832612315e-05	6.72960348055964	0.199999999999494
8.625	0.25	-4.03238256726615e-13	0.802326771584916	-4.91894405406772e-05	6.68948873695359	0.199999999999677
