x	y	$\phi$	X Velocity	Y Velocity	pressure	$\beta$
27.875	0.5	1.00129440168489	0	0	0	1
28.125	0.5	1.00130163643166	0	0	0	1
28.375	0.5	1.0013086756505	0	0	0	1
28.625	0.5	1.00131551995088	0	0	0	1
28.875	0.5	1.00132216989424	0	0	0	1
29.125	0.5	1.00132862599779	0	0	0	1
29.375	0.5	1.00133488873789	0	0	0	1
29.625	0.5	1.00134095855318	0	0	0	1
29.875	0.5	1.00134683584742	0	0	0	1
30.125	0.5	1.00135252099204	0	0	0	1
30.375	0.5	1.00135801432854	0	0	0	1
30.625	0.5	1.0013633161707	0	0	0	1
30.875	0.5	1.00136842680658	0	0	0	1
31.125	0.5	1.00137334650044	0	0	0	1
31.375	0.5	1.00137807549446	0	0	0	1
31.625	0.5	1.00138261401039	0	0	0	1
31.875	0.5	1.00138696225102	0	0	0	1
32.125	0.5	1.0013911204016	0	0	0	1
32.375	0.5	1.00139508863118	0	0	0	1
32.625	0.5	1.00139886709377	0	0	0	1
32.875	0.5	1.00140245592951	0	0	0	1
33.125	0.5	1.00140585526567	0	0	0	1
33.375	0.5	1.0014090652177	0	0	0	1
33.625	0.5	1.00141208589003	0	0	0	1
33.875	0.5	1.00141491737701	0	0	0	1
34.125	0.5	1.00141755976357	0	0	0	1
34.375	0.5	1.00142001312602	0	0	0	1
34.625	0.5	1.00142227753264	0	0	0	1
34.875	0.5	1.00142435304429	0	0	0	1
35.125	0.5	1.00142623971494	0	0	0	1
35.375	0.5	1.00142793759215	0	0	0	1
35.625	0.5	1.00142944671755	0	0	0	1
35.875	0.5	1.00143076712717	0	0	0	1
36.125	0.5	1.0014318988518	0	0	0	1
36.375	0.5	1.0014328419173	0	0	0	1
36.625	0.5	1.00143359634484	0	0	0	1
36.875	0.5	1.00143416215111	0	0	0	1
37.125	0.5	1.00143453934848	0	0	0	1
37.375	0.5	1.00143472794513	0	0	0	1
0.125	1.5	-7.83458760428899e-05	0	0	0	0.2
0.375	1.5	-2.41658637615158e-05	0	0	0	0.2
0.625	1.5	8.76100245942933e-05	0	0	0	0.2
0.875	1.5	0.000264022941924131	0	0	0	0.2
1.125	1.5	0.000516170121325001	0	0	0	0.2
1.375	1.5	0.000859881366066545	0	0	0	0.2
1.625	1.5	0.00131667882469563	0	0	0	0.2
1.875	1.5	0.00191507205251053	0	0	0	0.2
2.125	1.5	0.00269225602604841	0	0	0	0.2
2.375	1.5	0.00369629638752882	0	0	0	0.2
2.625	1.5	0.00498890274797789	0	0	0	0.2
2.875	1.5	0.00664890517577132	0	0	0	0.2
3.125	1.5	0.00877655687865268	0	0	0	0.2
3.375	1.5	0.0114987802508793	0	0	0	0.2
3.625	1.5	0.0149754417891736	0	0	0	0.2
3.875	1.5	0.0194066647401139	0	0	0	0.2
4.125	1.5	0.0250410380092196	0	0	0	0.2
4.375	1.5	0.0321843154524869	0	0	0	0.2
4.625	1.5	0.0412077695055014	0	0	0	0.2
