pressure
x	y	pressure
0.125	0.5	541.511674400341
0.375	0.5	541.475435622061
0.625	0.5	541.445426235364
0.875	0.5	541.41435994166
1.125	0.5	541.383487012201
1.375	0.5	541.352593128237
1.625	0.5	541.32171530972
1.875	0.5	541.29084750983
2.125	0.5	541.259991128688
2.375	0.5	541.229146348695
2.625	0.5	541.198313623632
2.875	0.5	541.167493425831
3.125	0.5	541.13668629226
3.375	0.5	541.105892819455
3.625	0.5	541.075113667894
3.875	0.5	541.044349566175
4.125	0.5	541.013601317092
4.375	0.5	540.982869804635
4.625	0.5	540.952155999999
4.875	0.5	540.921460964262
5.125	0.5	540.890785846824
5.375	0.5	540.860131882219
5.625	0.5	540.829500392114
5.875	0.5	540.798892801318
6.125	0.5	540.768310673548
6.375	0.5	540.737755763243
6.625	0.5	540.707230065712
6.875	0.5	540.67673583569
7.125	0.5	540.646275543379
7.375	0.5	540.615851751982
7.625	0.5	540.585466937865
7.875	0.5	540.555123310678
8.125	0.5	540.5248227301
8.375	0.5	540.494566835692
8.625	0.5	540.464357479903
8.875	0.5	540.434197497687
9.125	0.5	540.404091759078
9.375	0.5	540.374048359566
9.625	0.5	540.344079733758
9.875	0.5	540.31420345398
10.125	0.5	540.284442508274
10.375	0.5	540.254824936626
10.625	0.5	540.225382820339
10.875	0.5	540.196150738137
11.125	0.5	540.167163894634
11.375	0.5	540.138456170597
11.625	0.5	540.11005833042
11.875	0.5	540.081996552861
12.125	0.5	540.054291335884
12.375	0.5	540.026956677268
12.625	0.5	539.999999262261
12.875	0.5	539.973417218996
13.125	0.5	539.947197873874
13.375	0.5	539.921313925119
13.625	0.5	539.895717642588
13.875	0.5	539.870333152241
14.125	0.5	539.845047523891
14.375	0.5	539.819702043479
14.625	0.5	539.794085400214
14.875	0.5	539.767930306264
15.125	0.5	539.740914321466
15.375	0.5	539.712664735575
15.625	0.5	539.682766733035
15.875	0.5	539.650773972974
16.125	0.5	539.616221030213
16.375	0.5	539.578637507821
16.625	0.5	539.537563733424
16.875	0.5	539.492567673224
17.125	0.5	539.443262134991
17.375	0.5	539.389320728289
17.625	0.5	539.330490699444
17.875	0.5	539.266600882572
18.125	0.5	539.197563654718
18.375	0.5	539.123370791525
18.625	0.5	539.044084179236
18.875	0.5	538.959823124343
19.125	0.5	538.870750310859
19.375	0.5	538.777058273699
19.625	0.5	538.678957732171
19.875	0.5	538.576668475773
