$\phi$
x	y	$\phi$
0.125	0.5	-0.000211300089413483
0.375	0.5	-0.000211971688789606
0.625	0.5	-0.000213315277520222
0.875	0.5	-0.000215331632834352
1.125	0.5	-0.000218021913766353
1.375	0.5	-0.000221387653013223
1.625	0.5	-0.000225430746124835
1.875	0.5	-0.000230153438067347
2.125	0.5	-0.000235558307210012
2.375	0.5	-0.000241648246795348
2.625	0.5	-0.000248426443962348
2.875	0.5	-0.000255896356401884
3.125	0.5	-0.00026406168673279
3.375	0.5	-0.000272926354696243
3.625	0.5	-0.000282494467274872
3.875	0.5	-0.000292770286851655
4.125	0.5	-0.000303758197531855
4.375	0.5	-0.000315462669759138
4.625	0.5	-0.000327888223364345
4.875	0.5	-0.000341039389192216
5.125	0.5	-0.000354920669457352
5.375	0.5	-0.000369536496985726
5.625	0.5	-0.000384891193501622
5.875	0.5	-0.000400988927121358
6.125	0.5	-0.000417833669213508
6.375	0.5	-0.000435429150778847
6.625	0.5	-0.00045377881848907
6.875	0.5	-0.000472885790497006
7.125	0.5	-0.000492752812084968
7.375	0.5	-0.000513382211139855
7.625	0.5	-0.000534775853313387
7.875	0.5	-0.000556935096510461
8.125	0.5	-0.000579860743993482
8.375	0.5	-0.000603552994806549
8.625	0.5	-0.000628011389263675
8.875	0.5	-0.000653234745668845
9.125	0.5	-0.000679221081846568
9.375	0.5	-0.000705967510808905
9.625	0.5	-0.000733470092899533
9.875	0.5	-0.000761723615279889
10.125	0.5	-0.00079072125076938
10.375	0.5	-0.000820454017075014
10.625	0.5	-0.000850909906545916
10.875	0.5	-0.000882072472944619
11.125	0.5	-0.000913918524267073
11.375	0.5	-0.000946414344726874
11.625	0.5	-0.00097950949770249
11.875	0.5	-0.00101312665111505
12.125	0.5	-0.00104714486345636
12.375	0.5	-0.00108137211950124
12.625	0.5	-0.00111550019364648
12.875	0.5	-0.00114903046201253
13.125	0.5	-0.00118115195798339
13.375	0.5	-0.00121054092292045
13.625	0.5	-0.00123503131129265
13.875	0.5	-0.00125107319059845
14.125	0.5	-0.00125284257740644
14.375	0.5	-0.00123077864689726
14.625	0.5	-0.00116918076304006
14.875	0.5	-0.00104226337608183
15.125	0.5	-0.000807685643103137
15.375	0.5	-0.000395957398940337
15.625	0.5	0.000306857115248532
15.875	0.5	0.00148724339848806
16.125	0.5	0.00344953833377502
16.375	0.5	0.00668797336245286
16.625	0.5	0.0119986240093035
16.875	0.5	0.0206464158873429
17.125	0.5	0.0345960120097281
17.375	0.5	0.0567837493699775
17.625	0.5	0.0913162151830571
17.875	0.5	0.143285486847196
18.125	0.5	0.217622837364375
18.375	0.5	0.31643220498854
18.625	0.5	0.435417294032821
18.875	0.5	0.562463386210022
19.125	0.5	0.68170138012119
19.375	0.5	0.780904225283511
19.625	0.5	0.85564499209611
19.875	0.5	0.907950006808579
20.125	0.5	0.942729818526458
20.375	0.5	0.965086873708879
20.625	0.5	0.979147392114436
20.875	0.5	0.987866032756965
21.125	0.5	0.993221346503216
21.375	0.5	0.996487812283815
21.625	0.5	0.998467744549891
21.875	0.5	0.999659330820276
22.125	0.5	1.00036937387884
22.375	0.5	1.00078588099409
22.625	0.5	1.0010237217612
22.875	0.5	1.00115295776897
23.125	0.5	1.00121627922694
23.375	0.5	1.00123968546762
23.625	0.5	1.00123900828066
23.875	0.5	1.00122388932674
24.125	0.5	1.0012002027803
24.375	0.5	1.00117153008355
24.625	0.5	1.00114005738162
24.875	0.5	1.00110712154154
25.125	0.5	1.00107354233361
25.375	0.5	1.00103982451545
25.625	0.5	1.00100628077256
25.875	0.5	1.00097310651471
26.125	0.5	1.00094042538556
26.375	0.5	1.00090831695665
26.625	0.5	1.00087683358405
26.875	0.5	1.00084601067233
27.125	0.5	1.00081587292863
27.375	0.5	1.00078643817766
27.625	0.5	1.00075771969348
27.875	0.5	1.00072972762977
28.125	0.5	1.0007024699022
28.375	0.5	1.00067595273824
28.625	0.5	1.00065018102541
28.875	0.5	1.00062515853745
29.125	0.5	1.00060088808692
