$\phi$
x	y	$\phi$
0.125	0.5	-0.00012459189280172
0.375	0.5	-0.000125180094305305
0.625	0.5	-0.000126357356942552
0.875	0.5	-0.000128125395813502
1.125	0.5	-0.000130486773178257
1.375	0.5	-0.000133444886017964
1.625	0.5	-0.000137003949497837
1.875	0.5	-0.000141168976373869
2.125	0.5	-0.000145945752395642
2.375	0.5	-0.000151340807768479
2.625	0.5	-0.000157361384749295
2.875	0.5	-0.000164015401461771
3.125	0.5	-0.000171311412028017
3.375	0.5	-0.000179258563125648
3.625	0.5	-0.000187866547091172
3.875	0.5	-0.000197145551702749
4.125	0.5	-0.000207106206787767
4.375	0.5	-0.000217759527813085
4.625	0.5	-0.000229116856628291
4.875	0.5	-0.000241189799544672
5.125	0.5	-0.000253990162944655
5.375	0.5	-0.000267529886627929
5.625	0.5	-0.000281820975110891
5.875	0.5	-0.000296875427104728
6.125	0.5	-0.000312705163403265
6.375	0.5	-0.0003293219534129
6.625	0.5	-0.000346737340550659
6.875	0.5	-0.000364962566717922
7.125	0.5	-0.000384008496019215
7.375	0.5	-0.000403885537825146
7.625	0.5	-0.000424603569155838
7.875	0.5	-0.000446171856152816
8.125	0.5	-0.000468598974058657
8.375	0.5	-0.000491892724545243
8.625	0.5	-0.000516060048276065
8.875	0.5	-0.000541106929014216
9.125	0.5	-0.000567038282998672
9.375	0.5	-0.000593857823055408
9.625	0.5	-0.000621567879916114
9.875	0.5	-0.000650169151726217
10.125	0.5	-0.000679660333844929
10.375	0.5	-0.000710037550022468
10.625	0.5	-0.000741293455077156
10.875	0.5	-0.000773415795457849
11.125	0.5	-0.000806385076479473
11.375	0.5	-0.00084017075890331
11.625	0.5	-0.000874725035931799
11.875	0.5	-0.000909972630956237
12.125	0.5	-0.000945794052597788
12.375	0.5	-0.000981998093660529
12.625	0.5	-0.00101827664857526
12.875	0.5	-0.00105413046595143
13.125	0.5	-0.00108874712511596
13.375	0.5	-0.00112080048142494
13.625	0.5	-0.0011481210321826
13.875	0.5	-0.00116715413754378
14.125	0.5	-0.00117206963726717
14.375	0.5	-0.0011532988141044
14.625	0.5	-0.00109513119407218
14.875	0.5	-0.000971769332142924
15.125	0.5	-0.000740858651303964
15.375	0.5	-0.000332894374024052
15.625	0.5	0.000366072285699208
15.875	0.5	0.00154253295186274
16.125	0.5	0.00350081326038244
16.375	0.5	0.00673509670627345
16.625	0.5	0.0120413405474467
16.875	0.5	0.0206842273996892
17.125	0.5	0.0346279740668132
17.375	0.5	0.0568081795891615
17.625	0.5	0.0913303686542474
17.875	0.5	0.143285427852515
18.125	0.5	0.217604022736791
18.375	0.5	0.316391386608391
18.625	0.5	0.435355410818703
18.875	0.5	0.562387024691478
19.125	0.5	0.681620273107995
19.375	0.5	0.780826528026408
19.625	0.5	0.855574634357765
19.875	0.5	0.907887202765205
20.125	0.5	0.942672824483612
20.375	0.5	0.965033410702045
20.625	0.5	0.979095375497649
20.875	0.5	0.987813815830736
21.125	0.5	0.993167728770883
21.375	0.5	0.996431964719211
21.625	0.5	0.998409121608473
21.875	0.5	0.999597594213062
22.125	0.5	1.00030433361169
22.375	0.5	1.00071745212909
22.625	0.5	1.00095189355794
22.875	0.5	1.00107777196394
23.125	0.5	1.00113781483807
23.375	0.5	1.00115804817267
23.625	0.5	1.00115432296607
23.875	0.5	1.00113629481777
24.125	0.5	1.00110984806412
24.375	0.5	1.00107857155009
24.625	0.5	1.00104465675625
24.875	0.5	1.00100944428757
25.125	0.5	1.00097375637415
25.375	0.5	1.00093809917315
25.625	0.5	1.00090278585977
25.875	0.5	1.00086801152902
26.125	0.5	1.00083389878142
26.375	0.5	1.00080052547417
26.625	0.5	1.0007679416228
26.875	0.5	1.00073617970307
27.125	0.5	1.00070526093838
27.375	0.5	1.0006751991459
27.625	0.5	1.00064600309848
27.875	0.5	1.00061767798473
28.125	0.5	1.00059022632137
28.375	0.5	1.0005636485336
28.625	0.5	1.00053794333441
28.875	0.5	1.0005131079825
29.125	0.5	1.00048913846718
29.375	0.5	1.00046602964961
29.625	0.5	1.00044377537812
29.875	0.5	1.00042236858821
30.125	0.5	1.00040180139368
30.375	0.5	1.00038206517259
30.625	0.5	1.00036315065033
30.875	0.5	1.00034504798078
31.125	0.5	1.00032774682651
31.375	0.5	1.00031123643789
31.625	0.5	1.00029550573152
31.875	0.5	1.00028054336759
32.125	0.5	1.00026633782627
32.375	0.5	1.00025287748277
32.625	0.5	1.00024015068095
32.875	0.5	1.00022814580515
33.125	0.5	1.00021685135019
33.375	0.5	1.00020625598915
33.625	0.5	1.00019634863882
33.875	0.5	1.0001871185226
34.125	0.5	1.00017855523064
34.375	0.5	1.00017064877704
34.625	0.5	1.00016338965404
34.875	0.5	1.00015676888287
35.125	0.5	1.00015077806126
35.375	0.5	1.00014540940746
35.625	0.5	1.00014065580059
35.875	0.5	1.00013651081725
36.125	0.5	1.00013296876433
36.375	0.5	1.00013002470787
36.625	0.5	1.00012767449794
36.875	0.5	1.00012591478947
37.125	0.5	1.00012474305896
37.375	0.5	1.00012415761709
0.125	1.5	-0.000124574687456834
0.375	1.5	-0.000125162782949042
0.625	1.5	-0.000126339833123303
0.875	1.5	-0.000128107552197563
1.125	1.5	-0.000130468501104671
1.375	1.5	-0.00013342607504839
1.625	1.5	-0.000136984486959657
1.875	1.5	-0.000141148746894709
2.125	1.5	-0.000145924637427321
2.375	1.5	-0.000151318685098291
2.625	1.5	-0.000157338127996333
2.875	1.5	-0.000163990879555804
3.125	1.5	-0.000171285488668185
3.375	1.5	-0.00017923109621594
3.625	1.5	-0.000187837388149308
3.875	1.5	-0.000197114545238697
4.125	1.5	-0.000207073189647641
4.375	1.5	-0.00021772432848364
4.625	1.5	-0.000229079294496587
4.875	1.5	-0.000241149684106753
5.125	1.5	-0.000253947292956225
5.375	1.5	-0.000267484049189032
5.625	1.5	-0.000281771944675449
5.875	1.5	-0.000296822964404465
6.125	1.5	-0.00031264901427401
6.375	1.5	-0.000329261847509481
6.625	1.5	-0.000346672989934525
6.875	1.5	-0.000364893664299245
7.125	1.5	-0.000383934713832432
7.375	1.5	-0.000403806525113633
7.625	1.5	-0.00042451895023765
7.875	1.5	-0.000446081228034939
8.125	1.5	-0.000468501903761989
8.375	1.5	-0.000491788746096242
8.625	1.5	-0.000515948659313494
8.875	1.5	-0.000540987586950207
9.125	1.5	-0.000566910400661891
9.375	1.5	-0.000593720763729529
9.625	1.5	-0.000621420951667711
9.875	1.5	-0.000650011600890441
10.125	1.5	-0.000679491337501399
10.375	1.5	-0.000709856207242229
10.625	1.5	-0.00074109877664506
10.875	1.5	-0.000773206691658699
11.125	1.5	-0.000806160342356203
11.375	1.5	-0.000839929056111622
11.625	1.5	-0.000874464869862097
11.875	1.5	-0.000909692321062205
12.125	1.5	-0.000945491692682576
12.375	1.5	-0.000981671496931448
12.625	1.5	-0.00101792326909883
12.875	1.5	-0.0010537472829188
13.125	1.5	-0.00108833046773673
13.375	1.5	-0.00112034575811619
13.625	1.5	-0.00114762230439975
13.875	1.5	-0.00116660344016933
14.125	1.5	-0.00117145588417194
14.375	1.5	-0.00115260602334603
14.625	1.5	-0.00109433559619238
14.875	1.5	-0.000970834645240939
15.125	1.5	-0.000739728351474166
15.375	1.5	-0.000331479056725866
15.625	1.5	0.000367915518970768
15.875	1.5	0.00154503393387485
16.125	1.5	0.00350434248217008
16.375	1.5	0.00674025017782467
16.625	1.5	0.0120490699332724
16.875	1.5	0.0206960292182625
17.125	1.5	0.0346461376360755
17.375	1.5	0.0568360417905877
17.625	1.5	0.0913723923877822
17.875	1.5	0.143346679202229
18.125	1.5	0.21768840123635
18.375	1.5	0.316498371223961
18.625	1.5	0.435477000969925
18.875	1.5	0.562508741920134
19.125	1.5	0.681727576341297
19.375	1.5	0.780911287954437
19.625	1.5	0.855636229029041
19.875	1.5	0.907929490531065
20.125	1.5	0.942700871794369
20.375	1.5	0.965051697255205
20.625	1.5	0.979107256715536
20.875	1.5	0.987821595926013
21.125	1.5	0.993172914753252
21.375	1.5	0.996435515160833
21.625	1.5	0.998411636900117
21.875	1.5	0.999599447564878
22.125	1.5	1.00030575652339
22.375	1.5	1.000718588514
22.625	1.5	1.00095283343617
22.875	1.5	1.00107857223213
23.125	1.5	1.00113851200365
23.375	1.5	1.00115866614142
