$\phi$
x	y	$\phi$
0.125	0.5	-0.00217907089732878
0.375	0.5	-0.00217910426328331
0.625	0.5	-0.00217917102904807
0.875	0.5	-0.00217927126237757
1.125	0.5	-0.00217940506501109
1.375	0.5	-0.00217957257280179
1.625	0.5	-0.00217977395588925
1.875	0.5	-0.00218000941891551
2.125	0.5	-0.00218027920128511
2.375	0.5	-0.00218058357746939
2.625	0.5	-0.00218092285735565
2.875	0.5	-0.00218129738664143
3.125	0.5	-0.00218170754727484
3.375	0.5	-0.00218215375794112
3.625	0.5	-0.00218263647459652
3.875	0.5	-0.00218315619104978
4.125	0.5	-0.0021837134395922
4.375	0.5	-0.00218430879167675
4.625	0.5	-0.00218494285864675
4.875	0.5	-0.00218561629251445
5.125	0.5	-0.00218632978678894
5.375	0.5	-0.00218708407735265
5.625	0.5	-0.00218787994338342
5.875	0.5	-0.00218871820831736
6.125	0.5	-0.00218959974084316
6.375	0.5	-0.00219052545591182
6.625	0.5	-0.00219149631573467
6.875	0.5	-0.00219251333072361
7.125	0.5	-0.00219357756029725
7.375	0.5	-0.00219469011342562
7.625	0.5	-0.00219585214870366
7.875	0.5	-0.0021970648736061
8.125	0.5	-0.00219832954235195
8.375	0.5	-0.00219964745143556
8.625	0.5	-0.0022010199312722
8.875	0.5	-0.00220244833140238
9.125	0.5	-0.00220393399504936
9.375	0.5	-0.00220547821610819
9.625	0.5	-0.0022070821671778
9.875	0.5	-0.00220874677989681
10.125	0.5	-0.00221047254675099
10.375	0.5	-0.00221225919362405
10.625	0.5	-0.0022141051396285
10.875	0.5	-0.00221600660689628
11.125	0.5	-0.00221795615439889
11.375	0.5	-0.00221994026407848
11.625	0.5	-0.00222193536770994
11.875	0.5	-0.00222390130827368
12.125	0.5	-0.00222577058032734
12.375	0.5	-0.00222743062560922
12.625	0.5	-0.00222869470256812
12.875	0.5	-0.00222925395702249
13.125	0.5	-0.00222859856430796
13.375	0.5	-0.00222588798835232
13.625	0.5	-0.00221973753304963
13.875	0.5	-0.00220786719812024
14.125	0.5	-0.00218652406490301
14.375	0.5	-0.00214953229377406
14.625	0.5	-0.00208673104490815
14.875	0.5	-0.00198140703209685
15.125	0.5	-0.00180607754000778
15.375	0.5	-0.00151557195754133
15.625	0.5	-0.00103570246898939
15.875	0.5	-0.000244769321494071
16.125	0.5	0.00105647584569231
16.375	0.5	0.00319319286259511
16.625	0.5	0.00669319916353707
16.875	0.5	0.0124057540482639
17.125	0.5	0.0216774512841574
17.375	0.5	0.0365918313626286
17.625	0.5	0.0602418923555167
17.875	0.5	0.0969009806993442
18.125	0.5	0.151745664229151
18.375	0.5	0.229521445759854
18.625	0.5	0.331661218793538
18.875	0.5	0.452763554333002
19.125	0.5	0.579795906036499
19.375	0.5	0.696930679661739
19.625	0.5	0.792896516318587
19.875	0.5	0.864342311596418
20.125	0.5	0.913921175878403
20.375	0.5	0.946705776904549
20.625	0.5	0.967710568167178
20.875	0.5	0.980900347194041
21.125	0.5	0.98907963838765
21.375	0.5	0.994113007930901
21.625	0.5	0.997196209953406
21.875	0.5	0.999079857165502
22.125	0.5	1.00022912768974
22.375	0.5	1.00093008564244
22.625	0.5	1.0013578267186
22.875	0.5	1.00161922112368
23.125	0.5	1.00177938556853
23.375	0.5	1.00187795502568
23.625	0.5	1.00193903945714
23.875	0.5	1.00197729974201
24.125	0.5	1.00200164928179
24.375	0.5	1.00201750684588
24.625	0.5	1.00202816684506
24.875	0.5	1.00203563247799
25.125	0.5	1.00204112218128
25.375	0.5	1.0020453774458
25.625	0.5	1.00204884988921
25.875	0.5	1.00205181494193
26.125	0.5	1.00205444093338
26.375	0.5	1.00205683107486
26.625	0.5	1.00205904897211
26.875	0.5	1.00206113412937
27.125	0.5	1.00206311137156
27.375	0.5	1.00206499657083
27.625	0.5	1.00206680012737
27.875	0.5	1.00206852908554
28.125	0.5	1.00207018842079
28.375	0.5	1.00207178182258
28.625	0.5	1.00207331217107
28.875	0.5	1.00207478182773
29.125	0.5	1.00207619281271
29.375	0.5	1.00207754691349
29.625	0.5	1.00207884575167
29.875	0.5	1.00208009082431
30.125	0.5	1.00208128352976
30.375	0.5	1.00208242518403
30.625	0.5	1.0020835170314
30.875	0.5	1.00208456025149
31.125	0.5	1.00208555596409
31.375	0.5	1.00208650523268
31.625	0.5	1.00208740906715
31.875	0.5	1.00208826842585
32.125	0.5	1.00208908421737
32.375	0.5	1.00208985730204
32.625	0.5	1.0020905884933
32.875	0.5	1.00209127855886
33.125	0.5	1.00209192822183
33.375	0.5	1.00209253816174
33.625	0.5	1.00209310901546
33.875	0.5	1.00209364137809
34.125	0.5	1.00209413580377
34.375	0.5	1.0020945928064
34.625	0.5	1.00209501286039
34.875	0.5	1.00209539640124
35.125	0.5	1.00209574382614
35.375	0.5	1.00209605549454
35.625	0.5	1.00209633172856
35.875	0.5	1.00209657281348
36.125	0.5	1.0020967789981
36.375	0.5	1.00209695049504
36.625	0.5	1.0020970874811
36.875	0.5	1.00209719009739
37.125	0.5	1.0020972584496
37.375	0.5	1.00209729260813
0.125	1.5	-0.00217852574796934
0.375	1.5	-0.00217855855649648
0.625	1.5	-0.00217862420669593
0.875	1.5	-0.00217872276490005
1.125	1.5	-0.0021788543307122
1.375	1.5	-0.00217901903713264
1.625	1.5	-0.00217921705072671
1.875	1.5	-0.00217944857183548
2.125	1.5	-0.00217971383482926
2.375	1.5	-0.0021800131084043
2.625	1.5	-0.00218034669592315
2.875	1.5	-0.00218071493579912
3.125	1.5	-0.0021811182019255
3.375	1.5	-0.00218155690414997
3.625	1.5	-0.00218203148879504
3.875	1.5	-0.002182542439225
4.125	1.5	-0.00218309027646005
4.375	1.5	-0.00218367555983841
4.625	1.5	-0.00218429888772659
4.875	1.5	-0.00218496089827822
5.125	1.5	-0.00218566227024101
5.375	1.5	-0.00218640372381073
5.625	1.5	-0.00218718602152945
5.875	1.5	-0.00218800996922297
6.125	1.5	-0.00218887641696815
6.375	1.5	-0.00218978626007392
6.625	1.5	-0.00219074044004872
6.875	1.5	-0.00219173994550799
7.125	1.5	-0.00219278581294495
7.375	1.5	-0.0021938791272369
7.625	1.5	-0.00219502102167589
7.875	1.5	-0.00219621267717509
8.125	1.5	-0.00219745532007594
8.375	1.5	-0.00219875021760911
8.625	1.5	-0.00220009866944952
8.875	1.5	-0.00220150199279813
9.125	1.5	-0.00220296149676514
