$\phi$
x	y	$\phi$
0.125	0.5	-0.00088571835062449
0.375	0.5	-0.000886369353859027
0.625	0.5	-0.000887671191929053
0.875	0.5	-0.000889623527995021
1.125	0.5	-0.000892225856692304
1.375	0.5	-0.000895477503999911
1.625	0.5	-0.000899377627057166
1.875	0.5	-0.000903925213921172
2.125	0.5	-0.000909119083255972
2.375	0.5	-0.00091495788394229
2.625	0.5	-0.000921440094594693
2.875	0.5	-0.000928564022970759
3.125	0.5	-0.000936327805254519
3.375	0.5	-0.000944729405193903
3.625	0.5	-0.00095376661306927
3.875	0.5	-0.000963437044467132
4.125	0.5	-0.0009737381388301
4.375	0.5	-0.000984667157750575
4.625	0.5	-0.000996221182971968
4.875	0.5	-0.00100839711405701
5.125	0.5	-0.00102119166567804
5.375	0.5	-0.00103460136447865
5.625	0.5	-0.00104862254545011
5.875	0.5	-0.00106325134775812
6.125	0.5	-0.00107848370994658
6.375	0.5	-0.0010943153644329
6.625	0.5	-0.00111074183119383
6.875	0.5	-0.00112775841051833
7.125	0.5	-0.0011453601746726
7.375	0.5	-0.00116354195827409
7.625	0.5	-0.00118229834709847
7.875	0.5	-0.0012016236649288
8.125	0.5	-0.00122151195787402
8.375	0.5	-0.00124195697529119
8.625	0.5	-0.00126295214597335
8.875	0.5	-0.00128449054749502
9.125	0.5	-0.00130656486535289
9.375	0.5	-0.00132916733648621
9.625	0.5	-0.00135228966839902
9.875	0.5	-0.00137592291959163
10.125	0.5	-0.00140005731795812
10.375	0.5	-0.00142468197894442
10.625	0.5	-0.00144978446084754
10.875	0.5	-0.00147535005452158
11.125	0.5	-0.00150136063882996
11.375	0.5	-0.00152779282482254
11.625	0.5	-0.00155461493348811
11.875	0.5	-0.00158178205909242
12.125	0.5	-0.00160922798864971
12.375	0.5	-0.00163685195645613
12.625	0.5	-0.00166449691096671
12.875	0.5	-0.00169191383095714
13.125	0.5	-0.00171870310842319
13.375	0.5	-0.00174421822844619
13.625	0.5	-0.0017674074606424
13.875	0.5	-0.0017865536328149
14.125	0.5	-0.00179884634436549
14.375	0.5	-0.00179967873229344
14.625	0.5	-0.00178149154901905
14.875	0.5	-0.00173187359575034
15.125	0.5	-0.00163044149432137
15.375	0.5	-0.00144371842137137
15.625	0.5	-0.00111673974455479
