$\phi$
x	y	$\phi$
0.125	0.5	-0.00213593955023474
0.375	0.5	-0.00213592248284685
0.625	0.5	-0.00213588833106648
0.875	0.5	-0.00213583706086908
1.125	0.5	-0.00213576862117939
1.375	0.5	-0.00213568294382544
1.625	0.5	-0.00213557994347705
1.875	0.5	-0.0021354595175689
2.125	0.5	-0.00213532154620813
2.375	0.5	-0.00213516589206621
2.625	0.5	-0.00213499240025529
2.875	0.5	-0.00213480089818865
3.125	0.5	-0.00213459119542521
3.375	0.5	-0.00213436308349799
3.625	0.5	-0.00213411633572628
3.875	0.5	-0.00213385070701117
4.125	0.5	-0.00213356593361419
4.375	0.5	-0.00213326173291842
4.625	0.5	-0.00213293780317128
4.875	0.5	-0.0021325938232079
5.125	0.5	-0.00213222945215299
5.375	0.5	-0.00213184432909838
5.625	0.5	-0.0021314380727513
5.875	0.5	-0.00213101028104576
6.125	0.5	-0.0021305605307041
6.375	0.5	-0.00213008837672824
6.625	0.5	-0.0021295933517864
6.875	0.5	-0.00212907496543963
7.125	0.5	-0.00212853270311654
7.375	0.5	-0.00212796602468537
7.625	0.5	-0.00212737436237599
7.875	0.5	-0.00212675711764404
8.125	0.5	-0.00212611365630692
8.375	0.5	-0.00212544330084852
8.625	0.5	-0.00212474531807766
8.875	0.5	-0.0021240188991534
9.125	0.5	-0.00212326312706255
9.375	0.5	-0.00212247692346146
9.625	0.5	-0.00212165896157292
9.875	0.5	-0.0021208075232364
10.125	0.5	-0.00211992026407003
10.375	0.5	-0.0021189938274335
10.625	0.5	-0.00211802320959013
10.875	0.5	-0.00211700071545316
11.125	0.5	-0.00211591424060859
11.375	0.5	-0.00211474444466952
11.625	0.5	-0.00211346010022
11.875	0.5	-0.00211201043953453
12.125	0.5	-0.00211031256089625
12.375	0.5	-0.00210823070513861
12.625	0.5	-0.00210554215421028
12.875	0.5	-0.0021018811159347
13.125	0.5	-0.00209664638543838
13.375	0.5	-0.00208884940422678
13.625	0.5	-0.00207686425541069
13.875	0.5	-0.00205801633210455
14.125	0.5	-0.00202790565153819
14.375	0.5	-0.00197929383656942
14.625	0.5	-0.00190027396506861
14.875	0.5	-0.00177126271768004
15.125	0.5	-0.001560060992273
15.375	0.5	-0.00121375348452274
15.625	0.5	-0.000645453625021143
15.875	0.5	0.000287307019590613
16.125	0.5	0.00181759826676504
16.375	0.5	0.00432526483163671
16.625	0.5	0.00842549112891053
16.875	0.5	0.0151043285475433
17.125	0.5	0.0259152419274814
17.375	0.5	0.0432358524017123
17.625	0.5	0.0705303724039999
17.875	0.5	0.11242818055304
18.125	0.5	0.174183663314569
18.375	0.5	0.259867211672539
18.625	0.5	0.369064256675104
18.875	0.5	0.493766868796334
19.125	0.5	0.619268469253321
19.375	0.5	0.73048157630746
19.625	0.5	0.818602914188925
19.875	0.5	0.882576111231713
20.125	0.5	0.92619512528766
20.375	0.5	0.954703678433223
20.625	0.5	0.972831735889452
20.875	0.5	0.984160394455921
21.125	0.5	0.991163540807138
21.375	0.5	0.995463686056189
21.625	0.5	0.998093050626038
21.875	0.5	0.999696514367428
22.125	0.5	1.00067259836545
22.375	0.5	1.00126596435924
22.625	0.5	1.00162621901367
22.875	0.5	1.00184462366059
23.125	0.5	1.00197676686107
23.375	0.5	1.00205647813687
23.625	0.5	1.00210433382969
23.875	0.5	1.00213284493361
24.125	0.5	1.00214961678664
24.375	0.5	1.00215927187335
24.625	0.5	1.00216461932794
24.875	0.5	1.00216736603787
25.125	0.5	1.00216854894111
25.375	0.5	1.00216879780056
25.625	0.5	1.0021684949218
25.875	0.5	1.00216787222781
26.125	0.5	1.0021670702583
26.375	0.5	1.00216617402728
26.625	0.5	1.00216523481573
26.875	0.5	1.00216428341599
27.125	0.5	1.00216333818085
27.375	0.5	1.0021624099153
27.625	0.5	1.00216150484909
27.875	0.5	1.0021606264432
28.125	0.5	1.00215977648744
28.375	0.5	1.00215895576722
28.625	0.5	1.00215816446861
28.875	0.5	1.00215740242426
29.125	0.5	1.00215666926261
29.375	0.5	1.00215596449834
29.625	0.5	1.00215528758718
29.875	0.5	1.00215463795897
30.125	0.5	1.00215401503753
30.375	0.5	1.00215341825261
30.625	0.5	1.0021528470469
30.875	0.5	1.00215230088015
31.125	0.5	1.00215177923148
31.375	0.5	1.00215128160065
31.625	0.5	1.00215080750864
31.875	0.5	1.00215035649785
32.125	0.5	1.00214992813213
32.375	0.5	1.00214952199659
32.625	0.5	1.00214913769742
32.875	0.5	1.00214877486161
33.125	0.5	1.00214843313671
33.375	0.5	1.0021481121905
33.625	0.5	1.00214781171077
33.875	0.5	1.00214753140507
34.125	0.5	1.0021472710004
34.375	0.5	1.00214703024305
34.625	0.5	1.00214680889833
34.875	0.5	1.00214660675038
35.125	0.5	1.00214642360199
35.375	0.5	1.00214625927442
35.625	0.5	1.00214611360726
35.875	0.5	1.00214598645826
36.125	0.5	1.00214587770323
36.375	0.5	1.00214578723593
36.625	0.5	1.00214571496797
36.875	0.5	1.0021456608287
37.125	0.5	1.00214562476524
37.375	0.5	1.00214560674231
0.125	1.5	-0.00213622040067895
0.375	1.5	-0.00213620361200031
0.625	1.5	-0.00213617001788929
0.875	1.5	-0.00213611958482324
1.125	1.5	-0.00213605226248019
1.375	1.5	-0.00213596798369342
1.625	1.5	-0.00213586666439067
1.875	1.5	-0.00213574820351816
2.125	1.5	-0.00213561248294925
2.375	1.5	-0.00213545936737762
2.625	1.5	-0.00213528870419508
2.875	1.5	-0.00213510032335364
3.125	1.5	-0.00213489403721188
3.375	1.5	-0.00213466964036539
3.625	1.5	-0.00213442690946113
3.875	1.5	-0.00213416560299533
4.125	1.5	-0.00213388546109467
4.375	1.5	-0.00213358620528011
4.625	1.5	-0.00213326753821262
4.875	1.5	-0.00213292914341959
5.125	1.5	-0.00213257068499998
5.375	1.5	-0.00213219180730529
5.625	1.5	-0.00213179213459151
5.875	1.5	-0.00213137127063433
6.125	1.5	-0.00213092879829474
6.375	1.5	-0.00213046427901463
6.625	1.5	-0.00212997725220817
6.875	1.5	-0.00212946723449336
7.125	1.5	-0.00212893371867245
7.375	1.5	-0.00212837617231052
7.625	1.5	-0.0021277940356653
7.875	1.5	-0.00212718671856126
8.125	1.5	-0.00212655359553879
8.375	1.5	-0.00212589399817766
8.625	1.5	-0.00212520720278279
8.875	1.5	-0.00212449241045142
9.125	1.5	-0.00212374871461603
9.375	1.5	-0.00212297504799031
9.625	1.5	-0.00212217009563421
9.875	1.5	-0.00212133215227734
10.125	1.5	-0.00212045888792709
10.375	1.5	-0.00211954696256269
10.625	1.5	-0.00211859139249745
10.875	1.5	-0.00211758450809796
11.125	1.5	-0.00211651423905201
11.375	1.5	-0.00211536129306335
11.625	1.5	-0.00211409451358629
11.875	1.5	-0.002112663241018
12.125	1.5	-0.00211098474284591
12.375	1.5	-0.00210892352942579
12.625	1.5	-0.00210625731715215
12.875	1.5	-0.00210262101959432
13.125	1.5	-0.00209741458407268
13.375	1.5	-0.00208965133909697
13.625	1.5	-0.0020777084643035
13.875	1.5	-0.00205891644021806
14.125	1.5	-0.00202888364816745
14.375	1.5	-0.00198038546686868
14.625	1.5	-0.00190153759885149
14.875	1.5	-0.00177279392846653
15.125	1.5	-0.00156201649866635
15.375	1.5	-0.0012163904001427
15.625	1.5	-0.00064919362761663
15.875	1.5	0.000281773258447618
16.125	1.5	0.00180914242182317
16.375	1.5	0.00431205199509051
16.625	1.5	0.00840456027619485
16.875	1.5	0.0150709627069897
17.125	1.5	0.0258620875326704
17.375	1.5	0.043151856728759
17.625	1.5	0.0703999378519285
17.875	1.5	0.112231667513137
18.125	1.5	0.173901459210573
18.375	1.5	0.259489775391847
18.625	1.5	0.368606409915924
18.875	1.5	0.493274680920819
19.125	1.5	0.618804296492783
19.375	1.5	0.730094332616612
19.625	1.5	0.818310686392329
19.875	1.5	0.882371267106273
20.125	1.5	0.926058549618454
20.375	1.5	0.954615471307194
20.625	1.5	0.972775816920207
20.875	1.5	0.984125261035096
21.125	1.5	0.991141497332474
21.375	1.5	0.995449778998976
21.625	1.5	0.998084163413984
21.875	1.5	0.999690712698442
22.125	1.5	1.00066869145565
22.375	1.5	1.00126322267816
22.625	1.5	1.00162419685338
22.875	1.5	1.00184304910327
23.125	1.5	1.00197547409029
23.375	1.5	1.00205536599802
23.625	1.5	1.00210334053435
23.875	1.5	1.00213193264582
24.125	1.5	1.0021487622407
24.375	1.5	1.00215846066677
24.625	1.5	1.00216384245123
24.875	1.5	1.00216661776498
25.125	1.5	1.00216782554716
25.375	1.5	1.0021680967824
25.625	1.5	1.00216781452429
25.875	1.5	1.0021672111558
26.125	1.5	1.00216642750144
26.375	1.5	1.0021655487535
26.625	1.5	1.00216462630634
26.875	1.5	1.00216369102607
27.125	1.5	1.00216276131514
27.375	1.5	1.00216184801329
27.625	1.5	1.00216095737592
27.875	1.5	1.00216009288395
28.125	1.5	1.00215925634351
28.375	1.5	1.00215844855405
28.625	1.5	1.0021576697141
28.875	1.5	1.0021569196677
29.125	1.5	1.00215619805391
29.375	1.5	1.00215550439743
29.625	1.5	1.00215483816352
29.875	1.5	1.0021541987911
30.125	1.5	1.0021535857127
30.375	1.5	1.00215299836642
30.625	1.5	1.00215243620297
30.875	1.5	1.00215189868978
31.125	1.5	1.00215138531335
31.375	1.5	1.00215089558048
31.625	1.5	1.0021504290189
31.875	1.5	1.00214998517748
32.125	1.5	1.00214956362622
32.375	1.5	1.00214916395608
32.625	1.5	1.00214878577884
32.875	1.5	1.00214842872677
33.125	1.5	1.0021480924524
33.375	1.5	1.00214777662826
33.625	1.5	1.0021474809466
33.875	1.5	1.00214720511909
34.125	1.5	1.00214694887668
34.375	1.5	1.00214671196925
34.625	1.5	1.00214649416548
34.875	1.5	1.00214629525261
35.125	1.5	1.00214611503625
35.375	1.5	1.00214595334023
35.625	1.5	1.00214581000644
35.875	1.5	1.00214568489469
36.125	1.5	1.00214557788256
36.375	1.5	1.00214548886535
36.625	1.5	1.00214541775593
36.875	1.5	1.00214536448468
37.125	1.5	1.00214532899947
37.375	1.5	1.00214531126555
0.125	2.5	-0.00213677753118897
0.375	2.5	-0.00213676129582261
0.625	2.5	-0.00213672880883489
0.875	2.5	-0.00213668003770099
1.125	2.5	-0.00213661493359663
