x	y	$\phi$	X Velocity	Y Velocity	pressure	$\beta$
0.125	0.25	5.26349080627852e-30	0.8	-0.0133821142360723	9.17135019762951	0.3
0.375	0.25	6.33338528029288e-30	0.759324478288209	0.00671951206773341	9.11820106863658	0.3
0.625	0.25	3.82607172745021e-31	0.807590427075744	0.00320463524237799	9.05745152586132	0.3
0.875	0.25	-1.77474010763613e-29	0.80400406188161	0.00157718515224403	8.99706250453515	0.3
1.125	0.25	-4.36912040923625e-29	0.802217565860634	0.000804809679078344	8.93685091652284	0.3
1.375	0.25	-5.87726874942829e-29	0.801293244437414	0.000427619021856043	8.87672986958367	0.3
1.625	0.25	-3.45934291763845e-29	0.800794528225086	0.000237336064562864	8.81665692976871	0.3
1.875	0.25	4.90325364200649e-29	0.800513160192506	0.000137821448952065	8.75661069024524	0.3
2.125	0.25	1.78578557254194e-28	0.800347005631834	8.37181021947099e-05	8.696579955619	0.3
2.375	0.25	2.90691003032104e-28	0.800244399006312	5.3090868915383e-05	8.63655863926346	0.3
2.625	0.25	2.85141514666342e-28	0.800178305120225	3.50344498554973e-05	8.57654329561485	0.3
2.875	0.25	7.32284766372785e-29	0.800134058870048	2.39606879468884e-05	8.516531893326	0.3
3.125	0.25	-3.563124091861e-28	0.800103404482363	1.69119667463382e-05	8.45652318659866	0.3
3.375	0.25	-8.87687338097499e-28	0.800081518635599	1.22693004225221e-05	8.39651638245167	0.3
3.625	0.25	-1.27077414697296e-27	0.80006548000417	9.11567987451376e-06	8.33651095858504	0.3
3.875	0.25	-1.16352312867906e-27	0.800053457924587	6.91389833488018e-06	8.2765065602164	0.3
4.125	0.25	-2.31171328195031e-28	0.800044268456873	5.33886440233376e-06	8.21650293964531	0.3
4.375	0.25	1.66947661754857e-27	0.80003712361186	4.18773512284235e-06	8.15649991968039	0.3
4.625	0.25	4.19587526881779e-27	0.800031485188039	3.33030321942588e-06	8.09649737081957	0.3
4.875	0.25	6.19567560293729e-27	0.800026976975285	2.6807874278349e-06	8.0364951966017	0.3
5.125	0.25	5.66545833221881e-27	0.800023330496482	2.1813251077288e-06	7.97649332395621	0.3
5.375	0.25	4.95103171487997e-28	0.800020350575819	1.79204368837093e-06	7.91649169669352	0.3
5.625	0.25	-9.73107066442534e-27	0.800017892950105	1.48493233880646e-06	7.85649027101944	0.3
5.875	0.25	-2.14927868598676e-26	0.800015849382263	1.23996705805715e-06	7.79648901238387	0.3
6.125	0.25	-2.64784138110905e-26	0.800014137560085	1.04260530797443e-06	7.73648789322815	0.3
6.375	0.25	-1.45222669303932e-26	0.800012694114186	8.82132593646255e-07	7.67648689134903	0.3
6.625	0.25	1.85033638693899e-26	0.800011469709742	7.5055059511044e-07	7.61648598869326	0.3
6.875	0.25	6.04144410295317e-26	0.800010425542875	6.41816429386089e-07	7.5564851704578	0.3
7.125	0.25	7.78654137113994e-26	0.800009530804015	5.51313894022569e-07	7.49648442440999	0.3
7.375	0.25	2.79509932705929e-26	0.800008760817581	4.75480509578508e-07	7.43648374036821	0.3
7.625	0.25	-1.06953653174463e-25	0.800008095661325	4.11540960599758e-07	7.37648310980113	0.3
7.875	0.25	-2.70261399711474e-25	0.800007519130378	3.5731413216936e-07	7.31648252551548	0.3
