x	y	$\phi$	X Velocity	Y Velocity	pressure	$\beta$
0.125	0.25	3.2007356929156e-20	0.8	-0.0133824674744606	20.5590615509476	0.65
0.375	0.25	3.8294575873569e-20	0.759325321507106	0.00671914464074372	20.4439050064077	0.65
0.625	0.25	6.90437370490202e-21	0.807591782574494	0.00320426913246036	20.3122808214206	0.65
0.875	0.25	-1.00540250696583e-19	0.804005966890189	0.00157681853910675	20.1814376770113	0.65
1.125	0.25	-2.87828456568678e-19	0.802220021975884	0.000804441440088975	20.0509788820974	0.65
1.375	0.25	-4.8260557650246e-19	0.801296254709724	0.000427248341886151	19.9207161697609	0.65
1.625	0.25	-5.10101979091397e-19	0.800798096826111	0.000236962263842596	19.7905575991842	0.65
1.875	0.25	-1.20163726583514e-19	0.800517292270145	0.00013744390561249	19.6604567881355	0.65
2.125	0.25	8.99852867945112e-19	0.800351707250202	8.33362165164633e-05	19.5303894790149	0.65
2.375	0.25	2.5251794560655e-18	0.800249677125592	5.27040460393564e-05	19.4003424830729	0.65
2.625	0.25	4.26152230616927e-18	0.800184167595859	3.46420909556378e-05	19.2703083337178	0.65
2.875	0.25	4.99742652323519e-18	0.800140514462553	2.35621851711307e-05	19.1402826283478	0.65
3.125	0.25	3.09491385527722e-18	0.800110462873321	1.65066999786017e-05	19.0102626662354	0.65
3.375	0.25	-3.13878534275424e-18	0.80008919044777	1.18566348848831e-05	18.8802467276061	0.65
3.625	0.25	-1.45110217903925e-17	0.800073776825217	8.69496401284418e-06	18.7502336790059	0.65
3.875	0.25	-2.95400104885232e-17	0.800062392333466	6.48446195803123e-06	18.6202227497774	0.65
4.125	0.25	-4.27884288522792e-17	0.800053854053329	4.90001679224549e-06	18.4902134011102	0.65
4.375	0.25	-4.35939138006377e-17	0.800047375048532	3.73876318452352e-06	18.3602052467954	0.65
4.625	0.25	-1.66374222959052e-17	0.800042418205616	2.87046951146047e-06	18.230198003777	0.65
4.875	0.25	5.34849671459812e-17	0.800038608440391	2.2093281659298e-06	18.1001914604079	0.65
5.125	0.25	1.71800943758358e-16	0.800035678442795	1.69744808745357e-06	17.9701854555345	0.65
5.375	0.25	3.1704123716428e-16	0.80003343424845	1.29492603775174e-06	17.8401798643854	0.65
5.625	0.25	4.25267192590538e-16	0.800031732853247	9.73718228759142e-07	17.7101745888454	0.65
5.875	0.25	3.83781324844301e-16	0.800030467330463	7.13765280419577e-07	17.5801695506193	0.65
6.125	0.25	5.03927465612104e-17	0.800029556733315	5.00486655443516e-07	17.450164686343	0.65
6.375	0.25	-6.87782406184086e-16	0.800028939116822	3.23127165237109e-07	17.3201599440293	0.65
6.625	0.25	-1.81225473168051e-15	0.800028566633811	1.73644903644653e-07	17.1901552804459	0.649999999999999
